Scenario,KomNr,N_Iterasjoner,Dager_P5,Dager_P50,Dager_P95
Middels_90,5001,500,349,886,1546
Middels_90,5006,500,94,194,287
Middels_90,5007,500,97,202,300
Middels_90,5014,500,101,208,308
Middels_90,5020,500,102,209,312
Middels_90,5021,500,194,402,770
Middels_90,5022,500,107,217,325
Middels_90,5025,500,216,563,1133
Middels_90,5026,500,423,907,1411
Middels_90,5027,500,297,1649,2611
Middels_90,5028,500,856,1821,2727
Middels_90,5029,500,898,1842,2747
Middels_90,5031,500,108,221,328
Middels_90,5032,500,408,915,1468
Middels_90,5033,500,332,862,1449
Middels_90,5034,500,368,895,1419
Middels_90,5035,500,285,755,1319
Middels_90,5036,500,109,223,333
Middels_90,5037,500,114,235,349
Middels_90,5038,500,394,913,1483
Middels_90,5041,500,283,675,1145
Middels_90,5042,500,307,635,1160
Middels_90,5043,500,548,1117,1660
Middels_90,5044,500,535,1044,1580
Middels_90,5045,500,418,934,1545
Middels_90,5046,500,562,1163,1727
Middels_90,5047,500,539,1107,1686
Middels_90,5049,500,577,1187,1762
Middels_90,5052,500,115,236,349
Middels_90,5053,500,479,1071,1678
Middels_90,5054,500,314,797,1441
Middels_90,5055,500,397,888,1483
Middels_90,5056,500,499,1044,1588
Middels_90,5057,500,116,238,355
Middels_90,5058,500,412,874,1446
Middels_90,5059,500,226,1446,2639
Middels_90,5060,500,121,245,367
Middels_90,5061,500,528,1121,1666
Middels_90,5501,500,1133,2363,3524
Middels_90,5503,500,936,1952,2904
Middels_90,5510,500,122,251,375
Middels_90,5512,500,823,1717,2561
Middels_90,5514,500,874,1823,2714
Middels_90,5516,500,940,1974,2936
Middels_90,5518,500,940,1982,2938
Middels_90,5520,500,928,1929,2861
Middels_90,5522,500,937,1973,2908
Middels_90,5524,500,881,1839,2771
Middels_90,5526,500,865,1833,2726
Middels_90,5528,500,899,1874,2810
Middels_90,5530,500,614,1391,2236
Middels_90,5532,500,898,1861,2800
Middels_90,5534,500,819,1695,2548
Middels_90,5536,500,1104,2301,3440
Middels_90,5538,500,124,256,378
Middels_90,5540,500,124,257,383
Middels_90,5542,500,1104,2306,3444
Middels_90,5544,500,634,1376,2093
Middels_90,5546,500,775,1669,2443
Middels_90,5601,500,488,1169,1932
Middels_90,5603,500,725,1482,2252
Middels_90,5605,500,592,1277,1991
Middels_90,5607,500,809,1678,2497
Middels_90,5610,500,431,953,1517
Middels_90,5612,500,285,621,1039
Middels_90,5614,500,865,1796,2705
Middels_90,5616,500,867,1820,2735
Middels_90,5618,500,838,1767,2607
Middels_90,5620,500,1102,2296,3442
Middels_90,5622,500,466,1056,2357
Middels_90,5624,500,723,1503,2253
Middels_90,5626,500,125,258,384
Middels_90,5628,500,531,1176,1872
Middels_90,5630,500,125,259,385
Middels_90,5632,500,128,262,388
Middels_90,5634,500,128,263,389
Middels_90,5636,500,782,1664,2503
Samferdsel_96,0301,500,116,424,1186
Samferdsel_96,1101,500,61,237,601
Samferdsel_96,1103,500,46,174,486
Samferdsel_96,1106,500,181,508,1231
Samferdsel_96,1108,500,167,468,1166
Samferdsel_96,1111,500,62,239,605
Samferdsel_96,1112,500,61,237,598
Samferdsel_96,1114,500,61,235,594
Samferdsel_96,1119,500,45,181,504
Samferdsel_96,1120,500,60,228,588
Samferdsel_96,1121,500,52,201,542
Samferdsel_96,1122,500,38,153,418
Samferdsel_96,1124,500,181,502,1242
Samferdsel_96,1127,500,181,509,1238
Samferdsel_96,1130,500,52,201,504
Samferdsel_96,1133,500,35,143,356
