uke_aar,uke_nr,Kartkontor,Timer_Brukt,Kapasitet_Timer_Uke,Utnyttelse
2027,22,Kristiansand,0.0,21.63,0.0
2027,22,Stavanger,0.0,20.19,0.0
2027,22,Bergen,0.0,28.85,0.0
2027,22,Molde,0.0,18.03,0.0
2027,22,Trondheim,0.0,37.5,0.0
2027,22,Bodø,0.0,15.87,0.0
2027,22,Tromsø,20.19,25.24,0.8
2027,23,Oslo,0.0,21.63,0.0
2027,23,Hamar,18.03,18.03,1.0
2027,23,Skien,0.0,28.85,0.0
2027,23,Kristiansand,0.0,21.63,0.0
2027,23,Stavanger,0.0,20.19,0.0
2027,23,Bergen,0.0,28.85,0.0
2027,23,Molde,0.0,18.03,0.0
2027,23,Trondheim,0.0,37.5,0.0
2027,23,Bodø,0.0,15.87,0.0
2027,23,Tromsø,25.24,25.24,1.0
2027,24,Oslo,0.0,21.63,0.0
2027,24,Hamar,16.49,18.03,0.915
2027,24,Skien,0.0,28.85,0.0
2027,24,Kristiansand,0.0,21.63,0.0
2027,24,Stavanger,0.0,20.19,0.0
2027,24,Bergen,0.0,28.85,0.0
2027,24,Molde,0.0,18.03,0.0
2027,24,Trondheim,0.0,37.5,0.0
2027,24,Bodø,0.0,15.87,0.0
2027,24,Tromsø,25.24,25.24,1.0
2027,25,Oslo,0.0,21.63,0.0
2027,25,Hamar,0.0,18.03,0.0
2027,25,Skien,0.0,28.85,0.0
2027,25,Kristiansand,0.0,21.63,0.0
2027,25,Stavanger,0.0,20.19,0.0
2027,25,Bergen,0.0,28.85,0.0
2027,25,Molde,0.0,18.03,0.0
2027,25,Trondheim,0.0,37.5,0.0
2027,25,Bodø,0.0,15.87,0.0
2027,25,Tromsø,25.24,25.24,1.0
2027,26,Oslo,0.0,21.63,0.0
